date,title,price
2025-06-08,Sprzedam Opel Signum,5 700 zł
2025-06-08,Volvo V40 2.0 B+G 2000r 140KM hak Cena ostateczna do końca tygodnia,2 000 zł
2025-06-08,Opel Astra H zadbana / klima / kombi / 1.6benzyna,8 500 zł
2025-06-08,Chrysler Sebring 2.0 Benzyna LPG zamiana,9 000 zł
2025-06-08,1.5 dCi ekonomiczny Klimatyzacja sedan,5 600 zł
2025-06-08,"BMW e39 523i 2,5 170 km",7 800 zł
2025-06-08,Sprzedam Opel Meriva 1.4 + gaz 2008r,9 700 zł
2025-06-08,Opel vectra B 2.0 v16 1999 rok,5 400 zł
2025-06-08,Nissan Almera 1.8 2004,1 600 zł
2025-06-08,Ford Focus mk2 1.6 tdci 90KM fabrycznie bez Dpf,7 500 zł
2025-06-08,"Ford Focus mk1 1,6 Benzyna 2002r",2 500 zł
2025-06-08,Bmw 318i  e46 FL 1.8 Benzyna 2005R,7 990 zł
2025-06-08,Volvo s60 2.0Turbo z LPG,9 900 zł
2025-06-08,Megane Scenic,5 350 zł
2025-06-08,Hyundai i30 1.6 CRDi 115KM 2007r Bezwypadkowy!,12 000 zł
2025-06-08,skoda fabia uszkodzona,1 500 zł
2025-06-08,Opel Corsa LPG- ekonomiczne auto,9 300 zł
2025-06-08,Avensis t25 2.0 d4d,7 300 zł
2025-06-08,"Sprzedam 1,4  B+ Gaz",7 200 zł
2025-06-08,Mazda 2 . 1.3 Benzyna* 5drzwi* Klimatyzacja*2009R,10 990 zł
2025-06-08,Skoda Superb 1.8t 150km+ 2003 rok,8 800 zł
2025-06-08,Renault Clio 2009 1.2 benzyna,8 900 zł
2025-06-08,Swat cordoba 1.4,700 zł
2025-06-08,Toyota Avensis,3 900 zł
2025-06-08,Sprzedam Seata Leona 2000r,2 800 zł
2025-06-08,Sprzedam TOYOTĘ YARIS,4 000 zł
2025-06-08,Ford C-MAX,Brak ceny
2025-06-08,Volvo V70 D5 AWD Automatik,Brak ceny
2025-06-08,Ford Focus C-Max,5 900 zł
2025-06-08,Fiat 126p elegant,2 500 zł
2025-06-08,Toyota Yaris 1.0 Terra,Brak ceny
2025-06-08,Skoda Octavia 1.6 Classic,Brak ceny
2025-06-08,Bmw Seria 1,11 900 zł
2025-06-08,Ford Focus kombi 1.6,3 700 zł
